legit,equipment
0.62,5.187358856201172
0.621,4.977445591939613
0.622,0.19534286594343087
0.623,0.9320448753519981
0.624,1.830347065489054
0.625,5.665473620750005
0.626,4.562047941806323
0.627,0.7465118732899629
0.628,0.09659455391691414
0.629,0.6335662117596688
0.63,5.679896980432016
0.631,1.7212334294338967
0.632,0.9055805762768669
0.633,0.9316636258230586
0.634,0.6700881449401197
0.635,0.2725505003589451
0.636,2.6616259800678235E-4
0.637,0.06168262510648197
0.638,0.008192223646954638
0.639,0.9972621911613111
